ID;Short Name;Long Name;Route Type;Color;geo_point_2d;stop_ids
RTM-10217;N1;Métro Vieux Port - Luminy PN des Calanques;Bus;213965;43.266114548468096, 5.40448938841339;['RTM-00001406', 'RTM-00004411', 'RTM-00004410', 'RTM-00004563', 'RTM-00001266', 'RTM-00001267', 'RTM-00004094', 'RTM-00004094', 'RTM-00004096', 'RTM-00004097', 'RTM-00001747', 'RTM-00004479', 'RTM-00004480', 'RTM-00001761', 'RTM-00001763', 'RTM-00001764', 'RTM-00001764', 'RTM-00001765', 'RTM-00001773', 'RTM-00001773', 'RTM-00001775', 'RTM-00001775', 'RTM-00001776', 'RTM-00001778', 'RTM-00001779', 'RTM-00004479', 'RTM-00004251', 'RTM-00004099', 'RTM-00002030', 'RTM-00001267', 'RTM-00001618', 'RTM-00001229', 'RTM-00001256', 'RTM-00004561', 'RTM-00004562', 'RTM-00004411']
COL-S200;S200;Desserte CLG Yves Montand;Bus;0095DB;43.33735790327528, 5.479557317846346;['RTM-00003590', 'RTM-00002217', 'RTM-00002218', 'RTM-00000585', 'RTM-00003599', 'RTM-00003595', 'RTM-00002210', 'RTM-00004501', 'RTM-00004500', 'RTM-00002210', 'RTM-00002169', 'RTM-00004501', 'RTM-00004500', 'RTM-00002210', 'RTM-00002206', 'RTM-00002210', 'RTM-00004501', 'RTM-00004500', 'RTM-00002210', 'RTM-00002169', 'RTM-00002419', 'RTM-00002169', 'RTM-00004501', 'RTM-00004500', 'RTM-00002206', 'RTM-00002210', 'RTM-00003590', 'RTM-00003599', 'RTM-00003595', 'RTM-00002210', 'RTM-00000585', 'RTM-00002218', 'RTM-00002217', 'RTM-00004499', 'RTM-00002190', 'RTM-00003597', 'RTM-00003595', 'RTM-00003597', 'RTM-00003599', 'RTM-00003590', 'RTM-00002181', 'RTM-00002892', 'RTM-00004499', 'RTM-00002184', 'RTM-00004499', 'RTM-00002181', 'RTM-00002892', 'RTM-00003597', 'RTM-00003595', 'RTM-00003597', 'RTM-00003599', 'RTM-00003590', 'RTM-00002184', 'RTM-00004499', 'RTM-00002181', 'RTM-00002892', 'RTM-00004499']
RTM-180;S4;St Julien - Lycée Nelson Mandela;Bus;951B81;43.30931218761108, 5.430388360504465;['RTM-00002732', 'RTM-00000884', 'RTM-00000898', 'RTM-00000898', 'RTM-00000880', 'RTM-00000899', 'RTM-00000901', 'RTM-00000902', 'RTM-00000902', 'RTM-00000902', 'RTM-00000875', 'RTM-00002922', 'RTM-00003677', 'RTM-00003682', 'RTM-00000953', 'RTM-00004473', 'RTM-00004473', 'RTM-00000970', 'RTM-00003762', 'RTM-00000902', 'RTM-00000879', 'RTM-00000880', 'RTM-00000880', 'RTM-00000898', 'RTM-00000881', 'RTM-00000884', 'RTM-00000889']
C13-S500;S500;Septèmes - CLG et LYC;Bus;B51F1F;43.39333191485939, 5.358848135343475;['RTM-00002995', 'RTM-00004280', 'RTM-00002989', 'RTM-00002990', 'RTM-00004270', 'RTM-00004269', 'RTM-00004280', 'RTM-00003002', 'RTM-00003003', 'RTM-00004146', 'RTM-00002995', 'RTM-00004280', 'RTM-00002990', 'RTM-00004270', 'RTM-00004269', 'RTM-00004280', 'RTM-00003002', 'RTM-00003003', 'RTM-00004146', 'RTM-00002995', 'RTM-00003002', 'RTM-00003003', 'RTM-00004146', 'RTM-00002959', 'RTM-00004147', 'RTM-00002988', 'RTM-00002989', 'RTM-00002990', 'RTM-00004270', 'RTM-00004269', 'RTM-00004280', 'RTM-00002995', 'RTM-00003045', 'RTM-00002950', 'RTM-00002959', 'RTM-00004147', 'RTM-00002988', 'RTM-00002989', 'RTM-00002990', 'RTM-00004270', 'RTM-00004269', 'RTM-00004280', 'RTM-00002995', 'RTM-00003045', 'RTM-00002950']
RTM-181;S5;Métro La Fourragère - Lycée Jean Perrin;Bus;951B81;43.29246312363425, 5.434905381144497;['RTM-00004474', 'RTM-00000915', 'RTM-00000939', 'RTM-00000916', 'RTM-00000917', 'RTM-00000917', 'RTM-00002677', 'RTM-00000918', 'RTM-00000934', 'RTM-00000923', 'RTM-00000923', 'RTM-00000923', 'RTM-00001204', 'RTM-00001205', 'RTM-00001206', 'RTM-00001208', 'RTM-00004224', 'RTM-00004225', 'RTM-00004226', 'RTM-00004226', 'RTM-00004227', 'RTM-00001606', 'RTM-00001607', 'RTM-00001679', 'RTM-00001694', 'RTM-00001680', 'RTM-00001680', 'RTM-00001680', 'RTM-00004475', 'RTM-00004475', 'RTM-00001693', 'RTM-00001693', 'RTM-00001693', 'RTM-00001694', 'RTM-00001593', 'RTM-00001161', 'RTM-00001163', 'RTM-00003396', 'RTM-00000929', 'RTM-00000930', 'RTM-00000936', 'RTM-00002677', 'RTM-00000917', 'RTM-00000939', 'RTM-00000939', 'RTM-00004474', 'RTM-00004474']
RTM-182;S6;La Treille - Lycée Monte Cristo;Bus;951B81;43.30422583052398, 5.484893400735526;['RTM-00001223', 'RTM-00001193', 'RTM-00001194', 'RTM-00002812', 'RTM-00002812', 'RTM-00001195', 'RTM-00001196', 'RTM-00000644', 'RTM-00002503', 'RTM-00000836', 'RTM-00004476', 'RTM-00003589', 'RTM-00003601', 'RTM-00000836', 'RTM-00000836', 'RTM-00000836', 'RTM-00000836', 'RTM-00000644', 'RTM-00000644', 'RTM-00001196', 'RTM-00002812', 'RTM-00002811', 'RTM-00001218']
RTM-2;T1;Noailles - Les Caillols;Tram;F28C00;43.29445761296904, 5.4146450215443584;['RTM-00003232', 'RTM-00003233', 'RTM-00003233', 'RTM-00003234', 'RTM-00003251', 'RTM-00003237', 'RTM-00003237', 'RTM-00003238', 'RTM-00003240', 'RTM-00003459', 'RTM-00003414', 'RTM-00003414', 'RTM-00003229', 'RTM-00003229', 'RTM-00003092', 'RTM-00003092', 'RTM-00003232', 'RTM-00003232', 'RTM-00003232', 'RTM-00003233', 'RTM-00003233', 'RTM-00003234', 'RTM-00003251', 'RTM-00003237', 'RTM-00003237', 'RTM-00003238', 'RTM-00003240', 'RTM-00003459', 'RTM-00003414', 'RTM-00003414', 'RTM-00003229', 'RTM-00004312', 'RTM-00003229', 'RTM-00003229', 'RTM-00003417', 'RTM-00003459', 'RTM-00003249', 'RTM-00003249', 'RTM-00003237', 'RTM-00003237', 'RTM-00003253', 'RTM-00003253', 'RTM-00003233', 'RTM-00003233', 'RTM-00004312', 'RTM-00004312', 'RTM-00003229', 'RTM-00003229', 'RTM-00003417', 'RTM-00003459', 'RTM-00003249', 'RTM-00003249', 'RTM-00003237', 'RTM-00003237', 'RTM-00003253', 'RTM-00003253', 'RTM-00003233', 'RTM-00003233', 'RTM-00004312', 'RTM-00003249', 'RTM-00003237', 'RTM-00003237', 'RTM-00003253', 'RTM-00003253', 'RTM-00003233', 'RTM-00003233', 'RTM-00004312']
COL-TADV;TADV;TAD Vert :  La Fève - Plan de Cuques;Bus;0095DB;43.351075225445776, 5.485942618042424;['RTM-00002190', 'RTM-00004499', 'RTM-00004500', 'RTM-00002184']
RTM-3;2;Métro La Rose - Cité La Marie Haute;Bus;009FE3;43.33249819352931, 5.442920930455017;['RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000573', 'RTM-00000574', 'RTM-00004569', 'RTM-00000589', 'RTM-00000578', 'RTM-00000578', 'RTM-00000579', 'RTM-00000580', 'RTM-00000582', 'RTM-00000584', 'RTM-00002884', 'RTM-00002884', 'RTM-00000584', 'RTM-00000585', 'RTM-00000587', 'RTM-00000578', 'RTM-00004569', 'RTM-00000590', 'RTM-00000594', 'RTM-00000594', 'RTM-00000596']
RTM-5;4;Métro La Rose - La Valentine Centre Commercial;Bus;009FE3;43.313315307963606, 5.459558338968343;['RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000619', 'RTM-00000620', 'RTM-00000624', 'RTM-00000625', 'RTM-00000626', 'RTM-00000629', 'RTM-00002669', 'RTM-00000638', 'RTM-00000638', 'RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000619', 'RTM-00000620', 'RTM-00000624', 'RTM-00000625', 'RTM-00000626', 'RTM-00000629', 'RTM-00002669', 'RTM-00003582', 'RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000619', 'RTM-00000620', 'RTM-00000624', 'RTM-00000625', 'RTM-00000626', 'RTM-00000629', 'RTM-00000644', 'RTM-00000644', 'RTM-00001196', 'RTM-00001195', 'RTM-00001196', 'RTM-00000644', 'RTM-00002669', 'RTM-00003582', 'RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000619', 'RTM-00000620', 'RTM-00000624', 'RTM-00000625', 'RTM-00000626', 'RTM-00000629', 'RTM-00001393', 'RTM-00000663', 'RTM-00002695', 'RTM-00002669', 'RTM-00003582', 'RTM-00003582', 'RTM-00002507', 'RTM-00002669', 'RTM-00002503', 'RTM-00000650', 'RTM-00002780', 'RTM-00000653', 'RTM-00000653', 'RTM-00000653', 'RTM-00000626', 'RTM-00000654', 'RTM-00000655', 'RTM-00000656', 'RTM-00000659', 'RTM-00000661', 'RTM-00000594', 'RTM-00000594', 'RTM-00000596', 'RTM-00003582', 'RTM-00002507', 'RTM-00002669', 'RTM-00002503', 'RTM-00001393', 'RTM-00000663', 'RTM-00002695', 'RTM-00000650', 'RTM-00002780', 'RTM-00000653', 'RTM-00000653', 'RTM-00000653', 'RTM-00000626', 'RTM-00000654', 'RTM-00000655', 'RTM-00000656', 'RTM-00000659', 'RTM-00000661', 'RTM-00000594', 'RTM-00000594', 'RTM-00000596', 'RTM-00003582', 'RTM-00002507', 'RTM-00002669', 'RTM-00000644', 'RTM-00000644', 'RTM-00001196', 'RTM-00001195', 'RTM-00001196', 'RTM-00000644', 'RTM-00002503', 'RTM-00000650', 'RTM-00002780', 'RTM-00000653', 'RTM-00000653', 'RTM-00000653', 'RTM-00000626', 'RTM-00000654', 'RTM-00000655', 'RTM-00000656', 'RTM-00000659', 'RTM-00000661', 'RTM-00000594', 'RTM-00000594', 'RTM-00000596']
