Titre,Description,Horaires ISO,Horaires détaillés,Dernière date,Lieu: Nom,Lieu: Adresse,Lieu: Ville,Lieu: Code postal,Lieu: Latitude,Lieu: Longitude
Les jeudis Jam Sessions,♫♫♫,2025-08-28T20:00:00+02:00 -> 2025-08-28T23:00:00+02:00,jeudi 28 août 2025 - 20:00 ⤏ 23:00,jeudi 28 août 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-08-29T21:00:00+02:00 -> 2025-08-30T04:00:00+02:00,vendredi 29 août 2025 - 21:00 ⤏ 04:00,vendredi 29 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-08-30T21:00:00+02:00 -> 2025-08-31T04:00:00+02:00,samedi 30 août 2025 - 21:00 ⤏ 04:00,samedi 30 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Dany Brillant,♫♫♫,2025-09-04T20:00:00+02:00 -> 2025-09-04T22:30:00+02:00,jeudi 4 septembre 2025 - 20:00 ⤏ 22:30,jeudi 4 septembre 2025,"Pasino d'Aix en Provence","21, Avenue de l'Europe, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.523164,5.435866
ChROnOlogy PARtY,♫CLUBBING♫,2025-09-05T21:00:00+02:00 -> 2025-09-06T04:00:00+02:00,vendredi 5 septembre 2025 - 21:00 ⤏ 04:00,vendredi 5 septembre 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
LOS FASTIDIOS,♫Street Ska Punk♫,2025-09-06T20:30:00+02:00 -> 2025-09-06T23:59:00+02:00,samedi 6 septembre 2025 - 20:30 ⤏ 23:59,samedi 6 septembre 2025,Le Molotov,"3, place Paul Cezanne, 13006 Marseille",Marseille,13006,43.292708,5.383167
Soirée Génération Rock,♫CLUBBING♫,2025-09-06T21:00:00+02:00 -> 2025-09-07T04:00:00+02:00,samedi 6 septembre 2025 - 21:00 ⤏ 04:00,samedi 6 septembre 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
ChROnOlogy PARtY,♫CLUBBING♫,2025-09-12T21:00:00+02:00 -> 2025-09-13T04:00:00+02:00,vendredi 12 septembre 2025 - 21:00 ⤏ 04:00,vendredi 12 septembre 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-09-13T21:00:00+02:00 -> 2025-09-14T04:00:00+02:00,samedi 13 septembre 2025 - 21:00 ⤏ 04:00,samedi 13 septembre 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
ChROnOlogy PARtY,♫CLUBBING♫,2025-09-19T21:00:00+02:00 -> 2025-09-20T04:00:00+02:00,vendredi 19 septembre 2025 - 21:00 ⤏ 04:00,vendredi 19 septembre 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
