ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00003495;;Louis Armand;43.300013, 5.4135575;;;;0;;;2
RTM-00001798;;Luce Isaac;43.25806907, 5.39671719;;;;0;;;2
RTM-00004351;;Luminy Faculté;43.231163, 5.43958;AVENUE DE LUMINY  MARSEILLE 13009;;;0;;;2
RTM-00004352;;Luminy Kedge BS;43.2325256, 5.4361397;AVENUE DE LUMINY  MARSEILLE 13009;;;0;;;1
RTM-00003772;;Luminy PN des Calanques;43.2316791, 5.43710004;;;;0;;;1
RTM-00004553;;Luminy PN des Calanques;43.23177429, 5.43679953;;;;0;;;2
RTM-00000876;;Lycée Blaise Pascal;43.31115, 5.422512;;;;0;;;2
RTM-00001936;;Lycée Hôtelier;43.245879, 5.392553;;;;0;;;2
RTM-00000312;;Lycée L'Estaque;43.36197828, 5.32515531;potelet identique 300 et 312;;;0;;;1
RTM-00003679;;Lycée L'Olivier;43.305422, 5.425033;;;;0;;;2
RTM-00000501;;Lycée La Calade;43.34066597, 5.35335242;406 CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13015;;;0;;;2
RTM-00001941;;Lycée Marseilleveyre;43.240252, 5.377314;;;;0;;;1
RTM-00002811;;Lycée Paul Melizan;43.296867, 5.4934;D4 A  MARSEILLE 13011;;;0;;;2
RTM-00001940;;Lycée Poinso Chapuis;43.242224, 5.379422;;;;0;;;2
RTM-00001135;;Lycée Périer;43.28171, 5.381669;;;;0;;;2
RTM-00000994;;Lycée Saint-Exupéry;43.347944, 5.355685;;;;0;;;2
RTM-00002551;;Lycée St Charles;43.305415, 5.391847;;;;0;;;2
RTM-00000003;;Lyon Cap Pinède;43.327438, 5.36628;;;;0;;;1
RTM-00004028;;Lyon Raffineries;43.336159, 5.363119;;;;0;;;1
RTM-00001384;;Léon Bancal St Menet;43.289393, 5.481135;;;;0;;;1
RTM-00001394;;Léon Bancal St Menet;43.289571, 5.481513;;;;0;;;2
RTM-00001844;;MAC;43.250908, 5.389564;;;;0;;;1
RTM-00001879;;MAC;43.250948, 5.390073;;;;0;;;1
RTM-00001979;;Magdelon;43.248664, 5.401461;BOULEVARD DE LA CONCORDE  MARSEILLE 13009;;;0;;;2
RTM-00001991;;Magdelon;43.248374, 5.401307;BOULEVARD DE LA CONCORDE  MARSEILLE 13009;;;0;;;2
RTM-00004103;;Maillane;43.277859, 5.395353;;;;0;;;1
RTM-00004206;;Mairie 6-8;43.27107331, 5.382936;;;;0;;;2
RTM-00000924;;Malosse Butris;43.29853, 5.449974;;;;0;;;2
RTM-00000931;;Malosse Butris;43.298648, 5.450151;;;;0;;;1
RTM-00000348;;Malpassé;43.322797, 5.412718;AVENUE DE VALDONNE  MARSEILLE 13013;;;0;;;2
RTM-00000350;;Malpassé;43.32312, 5.413552;8 AVENUE DE VALDONNE  MARSEILLE 13013;;;0;;;2
RTM-00002278;;Malpassé;43.3209855, 5.4164315;;;;0;;;2
RTM-00004147;;Mandela Crèche;43.410319, 5.370818;AVENUE NELSON MANDELA  SEPTÈMES-LES-VALLONS 13240;;;0;;;2
RTM-00002985;;Mandela L'Arlésienne;43.409811, 5.368876;ancien horaires, ABS sigep;;;0;;;2
RTM-00004255;;Marché aux Puces;43.326462, 5.360994;CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13015;;;0;;;2
RTM-00002069;;Marina Olympique;43.2655303, 5.37298117;;;;0;;;1
RTM-00003570;;Marinier Belvédère;43.370294, 5.313122;;;;0;;;2
RTM-00001942;;Marseilleveyre;43.239203, 5.375477;AVENUE DU CORAIL  MARSEILLE 13008;;;0;;;2
RTM-00002037;;Maréchal Juin;43.312879, 5.405156;;;;0;;;1
RTM-00002422;;Mas des Oliviers;43.361458, 5.493754;;;;0;;;2
RTM-00001805;;Mazargues;43.246021, 5.403814;106 RUE ÉMILE ZOLA  MARSEILLE 13009;;;0;;;1
RTM-00001047;;Merlan Guynemer;43.346827, 5.408092;;;;0;;;2
RTM-00001048;;Merlan Pâquerettes;43.345151, 5.40847;;;;0;;;2
RTM-00000340;;Merlan Ste Marthe;43.330506, 5.404335;AVENUE PROSPER MÉRIMÉE  MARSEILLE 13013;;;0;;;2
RTM-00001029;;Merlan Tourelle;43.341861, 5.407678;;;;0;;;2
RTM-00001049;;Merlan Tourelle;43.341647, 5.407414;;;;0;;;2
RTM-00001059;;Merlan Trompette;43.3323227, 5.40679564;;;;0;;;2
RTM-00001067;;Merlan Verdon;43.33432, 5.407566;;;;0;;;1
RTM-00001065;;Merlan Village;43.33826, 5.407523;;;;0;;;2
RTM-00004201;;Mermoz Duveen;43.275639, 5.386814;;;;0;;;2
RTM-00004203;;Mermoz Sicard;43.271632, 5.386814;;;;0;;;2
RTM-00001751;;Michelet Bousquet;43.262876, 5.396639;;;;0;;;2
RTM-00001786;;Michelet Luce;43.25926, 5.39891;;;;0;;;2
RTM-00001785;;Michelet Taine;43.256976, 5.400235;;;;0;;;2
RTM-00000368;;MIN Bolivar;43.341111, 5.37749;BOULEVARD SIMON BOLIVAR  MARSEILLE 13014;;;0;;;2
RTM-00000366;;MIN Gibbes;43.3376, 5.385034;;;;0;;;2
RTM-00003069;;Monet Lavandins;43.325653, 5.394273;AVENUE CLAUDE MONET  MARSEILLE 13014;;;0;;;2
RTM-00002867;;Monte Cristo Faria;43.299434, 5.395826;34 RUE MONTE-CRISTO  MARSEILLE 13004;;;0;;;1
RTM-00001368;;Montgrand;43.283898, 5.49302;;;;0;;;1
RTM-00000758;;Montolivet;43.317457, 5.423923;;;;0;;;2
RTM-00000794;;Montolivet;43.317491, 5.424043;;;;0;;;2
RTM-00000752;;Montolivet Beauregard;43.312549, 5.411887;;;;0;;;2
RTM-00000798;;Montolivet Corbière;43.314776, 5.414273;;;;0;;;2
RTM-00000756;;Montolivet Matheron;43.317702, 5.419146;;;;0;;;2
RTM-00001725;;Montredon Chancel;43.241953, 5.368988;;;;0;;;1
RTM-00001471;;Montée de l'Oratoire;43.288954, 5.37084;;;;0;;;2
RTM-00000024;;Montée Graille;43.372042, 5.348853;;;;0;;;2
RTM-00000140;;Moretti Gibbes;43.324361, 5.383576;;;;0;;;2
RTM-00000108;;Moretti Ste Marthe;43.323589, 5.388244;;;;0;;;2
RTM-00000138;;Moretti Ste Marthe;43.323748, 5.38823;;;;0;;;2
RTM-00001812;;Morgiou Arnaud;43.228377, 5.415327;CHEMIN DE MORGIOU  MARSEILLE 13009;;;0;;;2
RTM-00001814;;Morgiou Arnaud;43.228657, 5.415423;CHEMIN DE MORGIOU  MARSEILLE 13009;;;0;;;2
RTM-00002658;;Morgiou Vert Plan;43.236041, 5.410074;;;;0;;;2
RTM-00003818;;Mucem St Jean;43.296441, 5.362873;QUAI DU VIEUX-PORT  MARSEILLE 13002;;;0;;;1
RTM-00003877;;Mucem St Jean;43.296616, 5.362941;QUAI DU VIEUX-PORT  MARSEILLE 13002  nom de l arrêt actuel fort et jean;;;0;;;1
RTM-00000341;;Musée de la Moto;43.328707, 5.404148;;;;0;;;2
RTM-00004334;;Méditerranée;43.333098, 5.36201;38 BOULEVARD DE LA MÉDITERRANÉE  MARSEILLE 13015;;;0;;;1
RTM-00004336;;Méditerranée;43.333024, 5.361926;39 BOULEVARD DE LA MÉDITERRANÉE  MARSEILLE 13015;;;0;;;1
RTM-00001127;;Métro 5 Avenues;43.303548, 5.396812;;;;0;;;2
RTM-00004293;;Métro Gèze;43.328522, 5.36762863;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00004294;;Métro Gèze;43.32826835, 5.36770642;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00004296;;Métro Gèze;43.328728, 5.367306;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00003850;;Métro Joliette;43.30435404, 5.36766299;;;;0;;;2
RTM-00000525;;Métro Jules Guesde;43.302051, 5.374318;AVENUE CAMILLE PELLETAN  MARSEILLE 13003;;;0;;;1
RTM-00003621;;Métro La Fourragère;43.30374549, 5.42404354;AVENUE DES CAILLOLS  MARSEILLE 13012;;;0;;;1
RTM-00000597;;Métro La Rose;43.333451, 5.429625;départ ligne 3, abri 15/312;;;0;;;2
RTM-00000615;;Métro La Rose;43.333208, 5.42976;départ ligne 4;;;0;;;2
RTM-00000728;;Métro La Rose;43.333591, 5.429419;;;;0;;;2
RTM-00002582;;Métro La Rose;43.33322, 5.429672;BOULEVARD DU MÉTRO  MARSEILLE 13013;;;0;;;2
RTM-00004421;;Métro La Timone;43.291538, 5.400478;BOULEVARD JEAN MOULIN  MARSEILLE 13005;;;0;;;1
