ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00002440;;Luce Michelet;43.258512, 5.398603;;;;0;;;2
RTM-00001768;;Luminy Complexe sportif;43.237109, 5.435705;;;;0;;;1
RTM-00001766;;Luminy Lachamp;43.24625, 5.436394;;;;0;;;1
RTM-00001773;;Luminy Lachamp;43.246324, 5.436391;;;;0;;;1
RTM-00003872;;Luminy PN des Calanques;43.231401, 5.437289;AVENUE DE LUMINY  MARSEILLE 13009  barrières;;;0;;;1
RTM-00001594;;Lycée Ampère;43.279521, 5.423788;;;;0;;;2
RTM-00001606;;Lycée Ampère;43.279659, 5.423727;;;;0;;;2
RTM-00000733;;Lycée Artaud;43.34040029, 5.42379076;;;;0;;;1
RTM-00000736;;Lycée Artaud;43.340401, 5.424732;CHEMIN DE NOTRE-DAME DE CONSOLATION  MARSEILLE 13013;;;0;;;1
RTM-00001328;;Lycée Camille Jullian;43.286067, 5.477574;;;;0;;;2
RTM-00001372;;Lycée Camille Jullian;43.286091, 5.478257;;;;0;;;2
RTM-00000669;;Lycée Charlotte Grawitz;43.335182, 5.420757;;;;0;;;2
RTM-00001399;;Lycée Colbert;43.28824, 5.357183;;;;0;;;2
RTM-00001916;;Lycée Daumier;43.261431, 5.387388;double abri 354 / 714;;;0;;;1
RTM-00001656;;Lycée Jean Perrin;43.274706, 5.42628;;;;0;;;1
RTM-00001692;;Lycée Jean Perrin;43.2752823, 5.42521985;RUE VERDILLON  MARSEILLE 13010;;;0;;;1
RTM-00000300;;Lycée L'Estaque;43.36199695, 5.32504305;potelet identique 300 et 312;;;0;;;1
RTM-00003678;;Lycée L'Olivier;43.304744, 5.425766;;;;0;;;2
RTM-00000507;;Lycée La Calade;43.340962, 5.352188;;;;0;;;2
RTM-00000327;;Lycée La Floride;43.33650778, 5.37441942;poubelle coupée;;;0;;;2
RTM-00000371;;Lycée La Floride;43.33566, 5.374455;;;;0;;;2
RTM-00000485;;Lycée Le Chatelier;43.31422085, 5.37083448;;;;0;;;1
RTM-00001304;;Lycée Marcel Pagnol;43.282903, 5.433585;;;;0;;;2
RTM-00001633;;Lycée Marcel Pagnol;43.283156, 5.432762;;;;0;;;2
RTM-00000817;;Lycée Marie Gasquet;43.305449, 5.417518;;;;0;;;2
RTM-00004477;;Lycée Marseilleveyre;43.24010937, 5.37723319;;;;0;;;0
RTM-00003601;;Lycée Monte Cristo;43.32263131, 5.46958452;abs trottoir;;;0;;;1
RTM-00002812;;Lycée Paul Melizan;43.296798, 5.492497;;;;0;;;2
RTM-00001944;;Lycée Poinso Chapuis;43.243013, 5.37983;TRAVERSE PARANGON  MARSEILLE 13008;;;0;;;1
RTM-00000504;;Lycée Saint-Exupéry;43.347324, 5.355249;CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13015;;;0;;;2
RTM-00004361;;Lycée Simone Veil;43.345615, 5.413895;;;;0;;;1
RTM-00000433;;Lycée St Charles;43.305286, 5.391338;;;;0;;;2
RTM-00000050;;Lyon Cap Pinède;43.327255, 5.366153;;;;0;;;1
RTM-00003966;;Lyon Commanderie;43.339396, 5.362003;;;;0;;;1
RTM-00004030;;Lyon Oddo;43.32987411, 5.36528975;;;;0;;;1
RTM-00001719;;Madrague Mont Rose;43.2321253, 5.35582334;;;;0;;;2
RTM-00004242;;Mairie;43.29587875, 5.37040472;Embarcadère Ferry Boat;;;0;;;0
RTM-00001115;;Malpassé;43.322442, 5.412879;;;;0;;;2
RTM-00002293;;Malpassé;43.3209445, 5.41644;;;;0;;;2
RTM-00003003;;Mandela Ecole;43.409015, 5.367827;équipements mixte, abs sigep;;;0;;;2
RTM-00004258;;Marché aux Puces;43.325884, 5.361232;CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13002;;;0;;;2
RTM-00000852;;Margaillan;43.306897, 5.42167;;;;0;;;2
RTM-00003568;;Marinier Belvédère;43.37037, 5.313195;descente sur route;;;0;;;2
RTM-00003572;;Marinier Grotte;43.366102, 5.314309;;;;0;;;2
RTM-00002668;;Martinique Pythagore;43.283205, 5.3762;;;;0;;;2
RTM-00000761;;Mazarade Norma;43.315023, 5.429745;;;;0;;;2
RTM-00001820;;Mazargues;43.246192, 5.404135;RUE LALI  MARSEILLE 13009;;;0;;;1
RTM-00001839;;Mazargues Etienne Milan;43.266484, 5.389663;;;;0;;;2
RTM-00001886;;Mazargues Négresko;43.268781, 5.388723;;;;0;;;1
RTM-00001030;;Merlan Pâquerettes;43.345411, 5.408461;;;;0;;;2
RTM-00001060;;Merlan Verdon;43.333779, 5.407522;;;;0;;;2
RTM-00000330;;MIN Arnavaux;43.338444, 5.382506;;;;0;;;2
RTM-00000367;;MIN Arnavaux;43.339434, 5.380904;;;;0;;;1
RTM-00000331;;MIN Gibbes;43.337098, 5.385107;AVENUE DU MARCHÉ D'INTÉRÊT NATIONAL  MARSEILLE 13014;;;0;;;2
RTM-00004071;;Miège;43.3438909, 5.4442858;RUE LOUIS LEPRINCE-RINGUET  MARSEILLE 13013;;;0;;;2
RTM-00004077;;Miège;43.343915, 5.44439;pas de trottoir;;;0;;;2
RTM-00001026;;Monet Florida;43.326854, 5.39532;AVENUE CLAUDE MONET  MARSEILLE 13014;;;0;;;2
RTM-00003070;;Monet Lavandins;43.324973, 5.393767;11 AVENUE CLAUDE MONET  MARSEILLE 13014;;;0;;;1
RTM-00001025;;Monet St Barthélemy;43.32398, 5.3933593;;;;0;;;2
RTM-00001053;;Monet St Barthélemy;43.323702, 5.393032;;;;0;;;1
RTM-00002861;;Monte Cristo Camas;43.29895735, 5.39153919;RUE MONTE-CRISTO  MARSEILLE 13004;;;0;;;1
RTM-00001525;;Montebello;43.280213, 5.378452;RUE BRETEUIL  MARSEILLE 13006;;;0;;;2
RTM-00001332;;Montgrand;43.28363, 5.494155;;;;0;;;2
RTM-00000757;;Montolivet Chabot;43.31815, 5.421901;;;;0;;;2
RTM-00000754;;Montolivet Corbière;43.314938, 5.414551;;;;0;;;2
RTM-00000796;;Montolivet Matheron;43.317688, 5.417384;;;;0;;;2
RTM-00000802;;Montolivet Roux;43.309692, 5.407402;;;;0;;;2
RTM-00002876;;Montredon Miremonts;43.237383, 5.36353;AVENUE DE LA MADRAGUE DE MONTREDON  MARSEILLE 13008;;;0;;;2
RTM-00001817;;Morgiou Cauvière;43.237511, 5.409033;;;;0;;;2
RTM-00001807;;Morgiou Rosiers;43.240331, 5.406986;;;;0;;;1
RTM-00001818;;Morgiou Rosiers;43.2406889, 5.40705438;;;;0;;;1
RTM-00001806;;Morgiou Seigneurie;43.242534, 5.406314;;;;0;;;2
RTM-00001819;;Morgiou Seigneurie;43.242832, 5.406323;;;;0;;;2
RTM-00001117;;Moutte Daudet;43.320719, 5.408933;;;;0;;;2
RTM-00003828;;Mucem St Jean;43.29633165, 5.36247075;anciennement Fort St Jean;;;0;;;1
RTM-00004398;;Mucem St Jean;43.296245, 5.362829;;;;0;;;2
RTM-00001926;;Musso Roy d'Espagne;43.243936, 5.38539;;;;0;;;2
RTM-00000357;;Musée de la Moto;43.329255, 5.403908;;;;0;;;2
RTM-00003121;;Métro 5 Avenues;43.303832, 5.396961;;;;0;;;2
RTM-00000145;;Métro Bougainville;43.320897, 5.371724;arrêt fictif de descente;;;0;;;2
RTM-00000489;;Métro Bougainville;43.320221, 5.371158;arrêt ligne 70     barrières;;;0;;;2
RTM-00002046;;Métro Bougainville;43.321237, 5.371416;départ ligne 36/36B;;;0;;;1
RTM-00002017;;Métro Chartreux;43.30909, 5.402687;;;;0;;;1
RTM-00002530;;Métro Colbert;43.300224, 5.374519;;;;0;;;2
RTM-00001131;;Métro Estrangin;43.289812, 5.378248;;;;0;;;2
RTM-00004295;;Métro Gèze;43.32789763, 5.36788344;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00004297;;Métro Gèze;43.32835713, 5.36742747;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00004299;;Métro Gèze;43.32780008, 5.36744624;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00004300;;Métro Gèze;43.327996, 5.367394;60 AVENUE FÉLIX ZOCCOLA  MARSEILLE 13015;;;0;;;1
RTM-00003386;;Métro Joliette;43.30399, 5.367757;;;;0;;;2
RTM-00000420;;Métro Jules Guesde;43.30206371, 5.37442506;PLACE JULES GUESDE  MARSEILLE 13003;;;0;;;1
RTM-00003840;;Métro Jules Guesde;43.301837, 5.372957;;;;0;;;1
RTM-00000941;;Métro La Fourragère;43.30418662, 5.42375654;AVENUE DES CAILLOLS  MARSEILLE 13012;;;0;;;1
RTM-00003682;;Métro La Fourragère;43.303752, 5.424033;ligne 7;;;0;;;1
RTM-00004474;;Métro La Fourragère;43.30386311, 5.42385433;;;;0;;;0
RTM-00000570;;Métro La Rose;43.333084, 5.429709;départ ligne 2;;;0;;;2
RTM-00002186;;Métro La Rose;43.332995, 5.429453;BOULEVARD DU MÉTRO  MARSEILLE 13013;;;0;;;2
RTM-00004043;;Métro La Rose;43.3329782, 5.42993367;arrêt interverti avec 4043 dans si topo suite à confusion terrain (équipements et attributs aussi);;;0;;;2
RTM-00004044;;Métro La Rose;43.33360641, 5.43100655;RUE ALBERT EINSTEIN  MARSEILLE 13013;;;0;;;1
RTM-00004053;;Métro La Rose;43.333627, 5.430862;RUE ALBERT EINSTEIN  MARSEILLE 13013;;;0;;;1
RTM-00002442;;Métro La Timone;43.291005, 5.399794;BOULEVARD JEAN MOULIN  MARSEILLE 13005;;;0;;;1
RTM-00002443;;Métro La Timone;43.291018, 5.400166;BOULEVARD JEAN MOULIN  MARSEILLE 13005;;;0;;;1
RTM-00004424;;Métro La Timone;43.291445, 5.399972;BOULEVARD JEAN MOULIN  MARSEILLE 13005;;;0;;;1
RTM-00004576;;Métro Louis Armand;43.29943239, 5.41305276;Bus Relais M2 - Nuits Longues NEOMMA;;;0;;;2
RTM-00000349;;Métro Malpassé;43.32055699, 5.41570723;Arrêt repositionné suite à imprécision gps Terrain;;;0;;;1
RTM-00004575;;Métro Malpassé;43.32051818, 5.41650525;Bus Relais M2 - Nuits Longues NEOMMA;;;0;;;2
RTM-00000561;;Métro National;43.315639, 5.373036;RUE RENÉ CASSIN  MARSEILLE 13003;;;0;;;1
RTM-00001521;;Métro Notre Dame du Mont;43.292647, 5.384133;;;;0;;;1
RTM-00004199;;Métro Périer;43.2793349, 5.38709263;;;;0;;;2
RTM-00001747;;Métro Rond Point du Prado;43.270537, 5.392239;D559  MARSEILLE 13008;;;0;;;1
RTM-00001791;;Métro Rond Point du Prado;43.27110847, 5.39225936;BOULEVARD MICHELET  MARSEILLE 13008;;;0;;;1
RTM-00002115;;Métro Rond Point du Prado;43.271911, 5.390144;AVENUE DU PRADO  MARSEILLE 13008;;;0;;;1
RTM-00004097;;Métro Rond Point du Prado;43.273012, 5.391953;;;;0;;;1
RTM-00004098;;Métro Rond Point du Prado;43.273048, 5.392301;;;;0;;;1
RTM-00004114;;Métro Rond Point du Prado;43.271687, 5.392112;;;;0;;;1
RTM-00004116;;Métro Rond Point du Prado;43.271451, 5.392275;;;;0;;;1
RTM-00001118;;Métro St Just;43.31621, 5.405349;départ ligne 81;;;0;;;2
RTM-00004574;;Métro St Just;43.31590774, 5.40756629;Bus Relais M2 - Nuits Longues NEOMMA;;;0;;;2
RTM-00001678;;Métro Ste Marguerite Dromel;43.27116026, 5.4037123;terminus 17;;;0;;;2
RTM-00003801;;Métro Vieux Port;43.295015, 5.37445;;;;0;;;1
RTM-00003806;;Métro Vieux Port;43.294846, 5.374347;;;;0;;;1
RTM-00002305;;National;43.3151235, 5.372969;;;;0;;;2
RTM-00004247;;National Jullien;43.313481, 5.374633;347 BOULEVARD NATIONAL  MARSEILLE 13003;;;0;;;1
RTM-00000223;;National Loubon;43.310525, 5.378737;BOULEVARD NATIONAL  MARSEILLE 13003;;;0;;;1
RTM-00000426;;National Loubon;43.310816, 5.378529;;;;0;;;1
RTM-00002310;;Noailles;43.2967805, 5.381212;;;;0;;;2
RTM-00003459;;Noailles;43.297158, 5.381109;;;;0;;;1
RTM-00000789;;Norma Compostelle;43.318442, 5.431271;;;;0;;;2
RTM-00004366;;Notre Dame de la Consolation;43.339885, 5.420016;CHEMIN DE CHÂTEAU-GOMBERT  MARSEILLE 13013;;;0;;;2
RTM-00001457;;Notre Dame Dragon;43.287149, 5.373891;;;;0;;;2
RTM-00002956;;Notre Dame Limite;43.387026, 5.359179;;;;0;;;2
RTM-00002323;;Notre-Dame du Mont;43.2928265, 5.3836905;;;;0;;;2
RTM-00000131;;Nungesser;43.340548, 5.386703;;;;0;;;2
RTM-00000379;;Nédelec St Charles;43.30311697, 5.37851572;29 BOULEVARD CHARLES NÉDELEC  MARSEILLE 13003;;;0;;;2
RTM-00004067;;Néel;43.343732, 5.439519;pas de trottoir;;;0;;;2
RTM-00002855;;Négresko;43.269656, 5.390632;;;;0;;;1
RTM-00001852;;Océan Réattu;43.241519, 5.398705;;;;0;;;2
RTM-00000515;;Oddo Butineuse;43.327935, 5.360751;;;;0;;;2
RTM-00000516;;Oddo Lyon;43.329047, 5.365063;;;;0;;;2
RTM-00000682;;Palama Camoins;43.35473, 5.439371;;;;0;;;2
RTM-00000684;;Palama Carrousel;43.358735, 5.441413;;;;0;;;2
RTM-00000680;;Palama Château Gombert;43.352248, 5.437743;;;;0;;;1
RTM-00000718;;Palama Château Gombert;43.352383, 5.437648;;;;0;;;2
RTM-00000685;;Palama Ecuyers;43.359432, 5.441956;;;;0;;;2
RTM-00000697;;Palama Ecuyers;43.359703, 5.442118;;;;0;;;2
RTM-00000699;;Palama Fumade;43.357243, 5.44022;;;;0;;;2
RTM-00001132;;Paradis Dragon;43.287853, 5.379081;;;;0;;;2
RTM-00001085;;Paradis Mistral;43.272914, 5.385541;;;;0;;;2
RTM-00001133;;Paradis Ste Victoire;43.286655, 5.379445;;;;0;;;2
RTM-00001939;;Parangon Neptune;43.245262, 5.380128;20 TRAVERSE PARANGON  MARSEILLE 13008;;;0;;;2
RTM-00001945;;Parangon Neptune;43.245211, 5.380262;;;;0;;;2
RTM-00002127;;Parc;43.274914, 5.440221;;;;0;;;2
RTM-00001733;;Parc Borély;43.263909, 5.378095;;;;0;;;1
RTM-00001686;;Parc des Bruyères;43.274717, 5.439013;RUE DES TROIS PONTS  MARSEILLE 13010;;;0;;;2
RTM-00000410;;Parc du 26ème Centenaire;43.283145, 5.389446;;;;0;;;2
RTM-00001724;;Parc Pastré;43.240313, 5.367282;;;;0;;;1
RTM-00003968;;Parc St Louis;43.343639, 5.35962;;;;0;;;1
RTM-00004024;;Parc St Louis;43.343487, 5.359526;;;;0;;;1
RTM-00001563;;Pardigon;43.311604, 5.396157;;;;0;;;1
RTM-00001573;;Pardigon;43.31170787, 5.39601189;AVENUE DES CHUTES LAVIE  MARSEILLE 13004;;;0;;;1
RTM-00000524;;Paris Forbin;43.305596, 5.372554;;;;0;;;2
RTM-00000997;;Paul Gaffarel;43.34902093, 5.35811484;;;;0;;;2
RTM-00001565;;Paulette;43.315406, 5.398279;92 AVENUE DES CHUTES LAVIE  MARSEILLE 13004;;;0;;;1
RTM-00002502;;Peintres Roux La Valentine;43.295694, 5.480994;;;;0;;;2
RTM-00002503;;Peintres Roux La Valentine;43.295733, 5.481318;;;;0;;;2
RTM-00000481;;Pelletan Marceau;43.304615, 5.373315;;;;0;;;1
RTM-00001413;;Petit Chantier;43.290413, 5.369248;;;;0;;;2
RTM-00003816;;Pharo Catalans;43.2915737, 5.35586883;BOULEVARD CHARLES LIVON  MARSEILLE 13007;;;0;;;1
RTM-00000505;;Piscine Municipale;43.344225, 5.353983;;;;0;;;2
RTM-00002070;;Place Amiral Muselier;43.264148, 5.373559;;;;0;;;1
RTM-00004241;;Place aux Huiles;43.29345996, 5.37109137;Embarcadère Ferry Boat;;;0;;;0
RTM-00003829;;Place Bargemon;43.297679, 5.370515;;;;0;;;1
RTM-00004222;;Place Bonnefon;43.254116, 5.382802;AVENUE DE HAMBOURG  MARSEILLE 13008;;;0;;;2
RTM-00000100;;Place Bougainville;43.319313, 5.369112;;;;0;;;1
RTM-00000746;;Place Brossolette;43.305995, 5.400977;;;;0;;;1
RTM-00000804;;Place Brossolette;43.306256, 5.400664;;;;0;;;1
RTM-00003127;;Place Brossolette;43.306962, 5.400221;;;;0;;;2
RTM-00000519;;Place Cazemajou;43.318413, 5.366802;;;;0;;;2
RTM-00002095;;Place Cazemajou;43.318535, 5.368028;202 AVENUE ROGER SALENGRO  MARSEILLE 13015;;;0;;;2
RTM-00001081;;Place de St Mitre;43.34339025, 5.41766981;;;;0;;;2
RTM-00001496;;Place Delibes;43.279224, 5.383266;;;;0;;;2
RTM-00000727;;Place des Héros;43.35187, 5.439481;;;;0;;;1
RTM-00001549;;Place St Eugène;43.283956, 5.357492;;;;0;;;2
RTM-00003862;;Place Sébastopol;43.299721, 5.397826;;;;0;;;1
RTM-00001616;;Place Valentin Pignol;43.286009, 5.404109;;;;0;;;2
RTM-00001456;;Place Valère Bernard;43.284284, 5.375085;;;;0;;;2
RTM-00001705;;Plage de l'Huveaune;43.2599, 5.375334;;;;0;;;1
RTM-00002066;;Plage du Prophète;43.272549, 5.362642;CORNICHE PRÉSIDENT JOHN F. KENNEDY  MARSEILLE 13007;;;0;;;1
RTM-00002150;;Plan de Cuques Cinéma;43.343524, 5.458367;;;;0;;;2
RTM-00002199;;Plan de Cuques Eglise;43.347627, 5.46387;;;;0;;;1
RTM-00002151;;Plan de Cuques Félibrige;43.34548064, 5.46140971;;;;0;;;2
RTM-00003633;;Plateau de la Croix Rouge;43.337055, 5.444461;pas de trottoir;;;0;;;2
RTM-00000219;;Plombières Arnal;43.31581, 5.383806;;;;0;;;2
RTM-00002012;;Plombières Arnal;43.315981, 5.384342;;;;0;;;1
RTM-00004516;;Plombières Cubeddu;43.31691142, 5.38216766;;;;0;;;0
RTM-00000626;;Poilus Mistral;43.3226, 5.456997;;;;0;;;2
RTM-00001726;;Pointe Rouge;43.24392, 5.371088;39 AVENUE DE MONTREDON  MARSEILLE 13008;;;0;;;2
RTM-00001711;;Pointe Rouge Port;43.242337, 5.367598;AVENUE D'ODESSA  MARSEILLE 13008;;;0;;;1
RTM-00003765;;Pointe Rouge Port;43.242442, 5.367705;AVENUE D'ODESSA  MARSEILLE 13008;;;0;;;2
RTM-00002785;;Pol Roux Rabelais;43.359625, 5.332882;;;;0;;;2
RTM-00002982;;Polysport Grand Pavois;43.403711, 5.363936;;;;0;;;2
RTM-00003006;;Polysport Grand Pavois;43.403758, 5.364135;;;;0;;;2
RTM-00001272;;Pont de Vivaux;43.279579, 5.417828;;;;0;;;1
RTM-00001609;;Pont de Vivaux;43.27926, 5.417172;;;;0;;;2
RTM-00004236;;Pont de Vivaux Sidolle;43.281547, 5.4241;136 BOULEVARD DE PONT DE VIVAUX  MARSEILLE 13010;;;0;;;1
RTM-00004144;;Pont du Canal;43.371804, 5.372458;;;;0;;;2
RTM-00003138;;Pourrière Floralia;43.244765, 5.386877;;;;0;;;2
RTM-00003139;;Pourrière Floralia;43.244941, 5.386993;;;;0;;;2
RTM-00001697;;Prado Borde;43.277679, 5.388269;;;;0;;;1
RTM-00001739;;Prado Borde;43.278338, 5.388154;;;;0;;;1
RTM-00001090;;Prado Dupré;43.281722, 5.386241;;;;0;;;1
RTM-00001494;;Prado Dupré;43.282397, 5.385625;;;;0;;;1
RTM-00001738;;Prado Louvain;43.276624, 5.389122;;;;0;;;2
RTM-00001702;;Prado Tunis;43.266167, 5.381248;;;;0;;;2
RTM-00001734;;Prado Tunis;43.266336, 5.381871;;;;0;;;1
RTM-00000386;;Préfecture;43.290015, 5.378895;43 BOULEVARD PAUL PEYTRAL  MARSEILLE 13006;;;0;;;1
RTM-00003915;;Préfecture;43.290164, 5.378834;BOULEVARD PAUL PEYTRAL  MARSEILLE 13006;;;0;;;2
RTM-00001411;;Puget Fortia;43.290283, 5.373852;COURS PIERRE PUGET  MARSEILLE 13006;;;0;;;2
RTM-00001405;;Puget Roux de Brignoles;43.290028, 5.37345;;;;0;;;2
RTM-00001516;;Périer Escaliers;43.277908, 5.377191;BOULEVARD PÉRIER  MARSEILLE 13008;;;0;;;2
RTM-00001502;;Périer Gagliardo;43.277932, 5.374457;;;;0;;;2
RTM-00001089;;Périer Prado;43.279745, 5.386453;;;;0;;;2
RTM-00001495;;Périer Prado;43.279823, 5.386319;;;;0;;;2
RTM-00002051;;Quai du Port;43.295865, 5.367981;;;;0;;;1
RTM-00001830;;Rabat Baumettes;43.233752, 5.41248;;;;0;;;2
RTM-00001836;;Rabat Beauvallon;43.235379, 5.412961;;;;0;;;2
RTM-00000299;;Rabelais Bourgade;43.361093, 5.327226;;;;0;;;2
RTM-00004436;;Rabelais Roussin;43.358069, 5.336347;10 RUE RABELAIS  MARSEILLE 13016;;;0;;;1
RTM-00004463;;Raguse Chutes Lavie;43.318615, 5.403059;24 CHEMIN DE RAGUSE  MARSEILLE 13013;;;0;;;2
RTM-00001006;;Raimu La Busserine;43.332127, 5.398603;RUE DE LA BUSSERINE  MARSEILLE 13014;;;0;;;2
RTM-00001841;;Reggio;43.261101, 5.393624;;;;0;;;2
RTM-00000760;;Richard Aiguillette;43.3155616, 5.4272752;;;;0;;;2
RTM-00000759;;Richard Py;43.31568, 5.425438;;;;0;;;2
RTM-00000793;;Richard Py;43.315777, 5.424404;;;;0;;;2
RTM-00002357;;Roches Blanches;43.218548, 5.345605;pas de trottoir;;;0;;;2
RTM-00002363;;Roches Blanches;43.21911, 5.345533;pas de trottoir;;;0;;;2
RTM-00001507;;Roches Vève;43.28052, 5.366138;AVENUE DES ROCHES  MARSEILLE 13007;;;0;;;2
RTM-00001509;;Roches Vève;43.280631, 5.366538;RUE MARCEL VÈVE  MARSEILLE 13007;;;0;;;2
RTM-00004213;;Rolland Daumier;43.2782806, 5.3825008;;;;0;;;2
RTM-00001592;;Romain Rolland Icard;43.27641, 5.418397;157 BOULEVARD ROMAIN ROLLAND  MARSEILLE 13010;;;0;;;2
RTM-00001624;;Romain Rolland Pont de Vivaux;43.275526, 5.416906;;;;0;;;2
RTM-00001634;;Romain Rolland Pont de Vivaux;43.275663, 5.416786;descente sur parking;;;0;;;2
RTM-00004130;;Rome Dragon;43.289134, 5.382025;;;;0;;;1
RTM-00004156;;Rond Point des Oliviers;43.34379, 5.463542;D44 F  PLAN-DE-CUQUES 13380;;;0;;;2
RTM-00004157;;Rond Point des Oliviers;43.34378472, 5.46317573;D44 F  PLAN-DE-CUQUES 13380;;;0;;;2
RTM-00002864;;Roosevelt Réformés;43.298964, 5.386057;;;;0;;;2
RTM-00003858;;Rosière Fournier;43.30567, 5.435359;;;;0;;;2
RTM-00001429;;Roucas Estrangin;43.278823, 5.367717;CHEMIN DU ROUCAS BLANC  MARSEILLE 13007;;;0;;;2
RTM-00001433;;Roucas Estrangin;43.278792, 5.36789;CHEMIN DU ROUCAS BLANC  MARSEILLE 13007;;;0;;;2
RTM-00000394;;Rouet Liandier;43.278269, 5.392319;;;;0;;;2
RTM-00000396;;Rouet Louvain;43.276528, 5.39435;;;;0;;;2
RTM-00000395;;Rouet Roumanille;43.2773129, 5.39333881;;;;0;;;2
RTM-00002632;;Roussin Barnier;43.362844, 5.341063;;;;0;;;2
RTM-00002634;;Roussin Picaron;43.358154, 5.337631;;;;0;;;1
RTM-00000747;;Roux St Bruno;43.307636, 5.402575;;;;0;;;2
RTM-00000037;;Rove Tuileries;43.35453269, 5.35061002;;;;0;;;1
RTM-00002282;;Réformés Canebière;43.3004195, 5.386163;;;;0;;;2
RTM-00002297;;Réformés Canebière;43.300401, 5.3862025;;;;0;;;2
RTM-00003380;;Réformés Canebière;43.300371, 5.386047;ligne 49, abs plan&fiche horair;;;0;;;1
RTM-00003278;;République Dames;43.302202, 5.369424;;;;0;;;1
RTM-00003384;;République Dames;43.30227568, 5.3690891;;;;0;;;2
RTM-00003724;;République Dames;43.30205895, 5.36952994;;;;0;;;2
RTM-00002765;;Résidence Fondacle;43.320933, 5.451725;abs trottoir;;;0;;;2
RTM-00001001;;Résidence La Pâquerette;43.348642, 5.37175;;;;0;;;2
RTM-00000164;;Résidence Les Borels;43.363567, 5.361297;;;;0;;;1
RTM-00000319;;Résidence Mourepiane;43.349471, 5.346934;;;;0;;;2
RTM-00003972;;Résidence St Louis;43.35245, 5.357903;;;;0;;;1
RTM-00001763;;Résidence Valmont Redon;43.245151, 5.424172;AVENUE DE LATTRE DE TASSIGNY  MARSEILLE 13009;;;0;;;1
RTM-00000953;;Résidence Valvert;43.299586, 5.430245;;;;0;;;2
RTM-00001920;;Sablier Cité Borély;43.2516813, 5.3821603;;;;0;;;1
RTM-00003491;;Saint-Barnabé;43.303241, 5.418618;;;;0;;;2
RTM-00003494;;Saint-Barnabé;43.303318, 5.4185925;;;;0;;;2
RTM-00001421;;Sainte Fort Notre Dame;43.291651, 5.371304;;;;0;;;1
RTM-00001420;;Sainte Fortia;43.292302, 5.37417;;;;0;;;1
RTM-00001887;;Sainte-Marguerite Dromel;43.27093033, 5.40325991;terminus 24 24b 24t;;;0;;;2
RTM-00001950;;Sainte-Marguerite Dromel;43.2707985, 5.40373332;terminus 46 46S;;;0;;;2
RTM-00002033;;Sakakini Sidi Brahim;43.2978531, 5.40099839;BOULEVARD SAKAKINI  MARSEILLE 13004;;;0;;;1
RTM-00000491;;Salengro Cougit;43.322214, 5.367842;AVENUE ROGER SALENGRO  MARSEILLE 13015  n est pas fixe au sol;;;0;;;1
RTM-00004410;;Salvator Italie;43.29097372, 5.38164586;10 BOULEVARD LOUIS SALVATOR  MARSEILLE 13006;;;0;;;2
RTM-00004411;;Salvator Italie;43.29103425, 5.38143799;5 BOULEVARD LOUIS SALVATOR  MARSEILLE 13006;;;0;;;2
RTM-00001891;;Salvator Paoli Calmettes;43.263181, 5.411159;218 BOULEVARD DE SAINTE-MARGUERITE  MARSEILLE 13009;;;0;;;1
RTM-00003487;;Savine Tuves;43.36795697, 5.36457574;;;;0;;;2
RTM-00004519;;Schloesing Montfuron;43.2734287, 5.40067637;;;;0;;;2
RTM-00003363;;Sedan Chave;43.295415, 5.397952;RUE DU DOCTEUR SIMONE SEDAN  MARSEILLE 13005;;;0;;;1
RTM-00003199;;Septèmes Centre;43.398569, 5.366315;;;;0;;;2
RTM-00004281;;Septèmes Nord;43.401331, 5.369506;86 AVENUE DU 8 MAI 1945  SEPTÈMES-LES-VALLONS 13240;;;0;;;2
RTM-00003013;;Septèmes Sud;43.397001, 5.365424;équipements MPM.pas d'horaire;;;0;;;2
RTM-00001392;;Solitude Escourtines;43.281603, 5.502153;;;;0;;;2
RTM-00003073;;Sormiou Jarre;43.23418, 5.399315;CHEMIN DU ROI D'ESPAGNE  MARSEILLE 13009;;;0;;;1
RTM-00001869;;Sormiou Roy d'Espagne;43.236598, 5.399031;;;;0;;;2
RTM-00001874;;Soude Réginensi;43.244499, 5.400134;;;;0;;;1
RTM-00000035;;St André;43.356647, 5.343561;;;;0;;;2
RTM-00000036;;St André PN;43.355854, 5.345849;;;;0;;;2
RTM-00004307;;St Antoine;43.373217, 5.354016;29 BOULEVARD HENRI BARNIER  MARSEILLE 13015;;;0;;;2
RTM-00003981;;St Antoine Mairie;43.375891, 5.356133;298 AVENUE DE SAINT-ANTOINE  MARSEILLE 13015;;;0;;;1
RTM-00000281;;St Cassien;43.320023, 5.362677;RUE SAINT-CASSIEN  MARSEILLE 13002;;;0;;;2
RTM-00001084;;St Giniez;43.2707999, 5.38645506;;;;0;;;2
